Name,Team,Season,Level,Age,G,PA,wRC,wRC+,H,1B,2B,3B,HR,RBI,BB,SO,GDP,SB,CS,BB%,K%,BB/K,AVG,wOBA,OBP,SLG,OPS,ISO,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%
Chris Owings,LAD,2024,AAA,32,80,307,46.9,105.8,67,48,8,2,9,32,44,79,5,11,4,14%,26%,0.56,0.262,0.364,0.381,0.414,0.795,0.152,23%,38%,39%,0.99,39%,25%,36%
Jose Iglesias,NYM,2024,AAA,34,42,175,21.5,91.4,45,31,7,0,7,29,9,29,4,1,0,5%,17%,0.31,0.273,0.330,0.309,0.442,0.751,0.170,19%,50%,31%,1.60,47%,22%,31%
Rafael Ortega,CHW,2024,AAA,33,84,313,58.5,139.2,72,44,15,2,11,53,56,62,5,17,8,18%,20%,0.90,0.289,0.404,0.413,0.498,0.911,0.209,25%,35%,40%,0.88,50%,24%,26%
Carlos Perez,OAK,2024,AAA,33,112,468,76.7,113.5,106,48,27,4,27,77,49,80,10,0,0,10%,17%,0.61,0.260,0.376,0.344,0.544,0.888,0.284,23%,33%,44%,0.75,55%,22%,23%
Rob Brantly,TBR,2024,AAA,34,52,179,20.4,85.0,40,28,6,1,5,19,12,35,2,0,0,7%,20%,0.34,0.250,0.320,0.316,0.394,0.710,0.144,21%,37%,42%,0.89,51%,17%,31%
Elliot Soto,LAA,2024,AAA,34,114,468,42.8,63.3,89,67,15,3,4,44,58,112,7,21,5,12%,24%,0.52,0.224,0.296,0.323,0.307,0.629,0.083,27%,45%,29%,1.56,36%,26%,38%
Jake Marisnick,LAA,2024,"AAA,CPX",33,59,248,45.2,125.5,61,30,18,1,12,33,27,66,4,8,3,11%,27%,0.41,0.286,0.397,0.371,0.549,0.921,0.263,21%,41%,38%,1.09,53%,20%,27%
Drew Maggi,DET,2024,AAA,35,40,123,12.6,76.2,25,15,5,0,5,12,9,35,2,1,0,7%,28%,0.26,0.225,0.306,0.287,0.405,0.692,0.180,23%,42%,35%,1.19,50%,26%,24%
Dixon Machado,HOU,2024,"AAA,CPX",32,49,202,20.1,69.5,38,31,4,0,3,23,26,29,8,1,0,13%,14%,0.90,0.228,0.307,0.335,0.305,0.640,0.078,19%,57%,24%,2.32,46%,21%,33%
Yolmer Sanchez,NYM,2024,AAA,32,111,399,51.2,95.7,76,41,23,3,9,52,55,84,9,9,0,14%,21%,0.65,0.226,0.336,0.346,0.393,0.739,0.167,31%,37%,33%,1.14,50%,20%,30%
Nick Martini,CIN,2024,AAA,34,23,100,22.9,170.3,25,11,7,0,7,17,16,22,2,0,0,16%,22%,0.73,0.305,0.453,0.420,0.646,1.066,0.341,25%,38%,38%,1.00,39%,34%,26%
Niko Goodrum,BAL,2024,AAA,32,60,243,38.9,118.6,60,41,8,4,7,44,29,66,4,7,1,12%,27%,0.44,0.284,0.373,0.374,0.460,0.834,0.175,30%,42%,28%,1.50,43%,24%,33%
Ben Gamel,NYM,2024,AAA,32,45,190,38.6,151.2,49,29,12,1,7,24,31,46,0,0,0,16%,24%,0.67,0.314,0.423,0.423,0.538,0.962,0.224,30%,30%,39%,0.77,47%,27%,27%
Jake Hager,CHC,2024,"AAA,CPX",31,40,134,8.9,50.3,27,18,7,0,2,10,7,43,2,0,0,5%,32%,0.16,0.218,0.265,0.263,0.323,0.586,0.105,30%,33%,37%,0.90,55%,19%,26%
Kolten Wong,ARI,2024,AAA,33,31,121,14.4,82.7,29,21,6,0,2,16,10,22,2,2,0,8%,18%,0.45,0.271,0.327,0.339,0.383,0.722,0.112,21%,41%,38%,1.06,51%,24%,25%
Phillip Evans,ATL,2024,AAA,31,51,200,18.0,67.0,39,31,3,0,5,18,20,36,5,1,0,10%,18%,0.56,0.222,0.291,0.305,0.324,0.629,0.102,17%,49%,34%,1.42,46%,22%,32%
Michael Perez,ARI,2024,AAA,31,62,246,36.6,104.4,55,32,14,0,9,34,26,58,5,0,0,11%,24%,0.45,0.259,0.358,0.354,0.453,0.806,0.193,25%,37%,39%,0.95,49%,28%,22%
Jake Lamb,PIT,2024,AAA,33,98,414,52.8,95.0,94,63,23,1,7,55,43,84,9,0,1,10%,20%,0.51,0.264,0.335,0.350,0.393,0.743,0.129,22%,42%,35%,1.20,48%,23%,29%
Omar Narvaez,HOU,2024,AAA,32,42,169,16.0,65.4,27,19,4,1,3,20,26,31,7,0,0,15%,18%,0.84,0.196,0.300,0.325,0.304,0.630,0.109,24%,37%,39%,0.93,46%,25%,28%
Stephen Piscotty,OAK,2024,AAA,33,31,118,3.8,22.2,19,14,4,0,1,9,9,34,5,0,0,8%,29%,0.26,0.176,0.231,0.246,0.241,0.487,0.065,23%,54%,23%,2.35,50%,15%,35%
Erik Gonzalez,CIN,2024,AAA,32,127,464,39.4,63.3,107,76,24,1,6,55,24,95,16,6,1,5%,20%,0.25,0.246,0.286,0.287,0.347,0.634,0.101,27%,49%,24%,2.05,39%,21%,41%
Wynton Bernard,CHW,2024,AAA,33,73,265,29.9,84.2,69,50,12,2,5,29,12,44,4,23,2,5%,17%,0.27,0.276,0.318,0.313,0.400,0.713,0.124,24%,49%,27%,1.82,46%,23%,31%
Jack Lopez,LAA,2024,AAA,31,104,432,54.5,87.4,106,76,15,3,12,57,31,111,9,15,7,7%,26%,0.28,0.274,0.335,0.333,0.421,0.754,0.147,22%,49%,29%,1.68,38%,27%,35%
David Dahl,PHI,2024,AAA,30,76,295,47.0,118.7,76,48,12,2,14,40,28,71,3,5,4,9%,24%,0.39,0.285,0.372,0.353,0.502,0.854,0.217,25%,42%,33%,1.28,39%,26%,36%
