Name,Team,Season,Level,Age,IP,W,L,ERA,FIP,xFIP,AVG,BABIP,H,ER,HR,BB,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,LOB%,LD%,GB%,FB%,Pull%,Cent%,Oppo%
Erasmo Ramirez,TBR,2024,AAA,34,53,3,4,3.23,3.833200492,3.812095057,0.244,0.32089552,50,19,7,15,64,10.87,2.55,4.27,1.19,29%,7%,22%,80%,26%,39%,36%,41%,29%,31%
Edwin Escobar,CHC,2024,AAA,32,46.1,5,2,4.86,5.77048864,5.591155505,0.234,0.28205128,40,25,7,33,47,9.13,6.41,1.42,1.36,23%,16%,7%,77%,25%,38%,37%,37%,24%,39%
Andrew Bellatti,PHI,2024,AAA,32,42.2,4,2,5.48,5.561236812,6.322686578,0.215,0.26495726,35,26,4,33,42,8.86,6.96,1.27,0.84,21%,16%,4%,67%,26%,34%,41%,46%,28%,27%
Michael Mariot,SEA,2024,AAA,35,126.1,9,7,5.84,5.393338985,5.682676999,0.273,0.30503979,136,82,21,33,101,7.20,2.35,3.06,1.50,19%,6%,13%,63%,26%,31%,43%,48%,27%,25%
Adam Kolarek,LAA,2024,AAA,35,31,1,1,6.97,5.221068942,4.777162627,0.328,0.41489362,43,24,4,18,33,9.58,5.23,1.83,1.16,22%,12%,10%,59%,29%,49%,22%,43%,21%,35%
Chasen Shreve,TEX,2024,AAA,33,34.1,4,1,2.62,5.118026205,5.064200986,0.144,0.14285714,17,10,6,12,35,9.17,3.15,2.92,1.57,27%,9%,18%,79%,7%,41%,51%,46%,24%,30%
Casey Lawrence,SEA,2024,AAA,36,165,11,11,5.95,6.167305501,5.397703895,0.295,0.31015038,199,109,34,48,108,5.89,2.62,2.25,1.85,15%,7%,8%,69%,25%,44%,31%,51%,23%,25%
David Buchanan,CIN,2024,"A+,AAA",35,124,11,3,4.86,4.624814363,4.47045128,0.291,0.33248082,145,67,15,37,92,6.68,2.69,2.49,1.09,17%,7%,10%,71%,27%,48%,25%,51%,22%,27%
Robbie Ray,SFG,2024,"A,AAA,CPX",32,29.1,2,1,3.37,3.451944398,3.114216313,0.181,0.26785714,19,11,4,6,45,13.81,1.84,7.50,1.23,41%,5%,35%,72%,22%,25%,53%,33%,27%,40%
Aaron Sanchez,TOR,2024,AAA,31,61.1,3,6,7.92,7.286441162,6.49471977,0.261,0.26701571,64,54,13,39,41,6.02,5.72,1.05,1.91,14%,13%,1%,55%,22%,45%,33%,53%,19%,27%
Tayron Guerrero,LAA,2024,"AAA,CPX",33,36.1,3,3,5.7,3.252596053,4.450314955,0.333,0.43589744,52,23,1,11,38,9.41,2.72,3.45,0.25,22%,7%,16%,63%,29%,44%,27%,25%,38%,36%
Angel Sanchez,TBR,2024,AAA,34,26.2,4,2,2.36,4.094049487,4.871736927,0.272,0.30232558,28,7,2,6,15,5.06,2.02,2.50,0.67,14%,6%,8%,71%,28%,42%,30%,41%,24%,35%
Taijuan Walker,PHI,2024,"A,AA,AAA",31,22.2,1,0,3.97,3.766784191,5.801207043,0.212,0.24657534,18,10,0,7,12,4.76,2.78,1.71,0.00,13%,7%,5%,61%,14%,43%,43%,49%,22%,29%
Matt Andriese,MIA,2024,AAA,34,42,2,4,4.93,4.116668597,5.071326752,0.312,0.36956522,54,23,3,15,32,6.86,3.21,2.13,0.64,17%,8%,9%,68%,30%,39%,31%,42%,25%,33%
Scott McGough,ARI,2024,AAA,34,36.1,1,2,3.22,3.999109806,4.686776113,0.225,0.29292929,31,13,2,18,37,9.17,4.46,2.06,0.50,24%,12%,12%,65%,32%,40%,29%,47%,26%,28%
Aaron Brooks,OAK,2024,AAA,34,67.2,2,9,4.92,3.966977114,4.597816773,0.296,0.34955752,83,37,4,16,50,6.65,2.13,3.13,0.53,17%,5%,11%,58%,26%,50%,23%,44%,29%,27%
Nick Ramirez,LAD,2024,AAA,34,37,3,1,4.38,3.900733107,4.371669169,0.281,0.33628319,41,18,3,7,30,7.30,1.70,4.29,0.73,19%,5%,15%,67%,24%,49%,27%,51%,20%,29%
Ryan Carpenter,SDP,2024,AAA,33,59,2,6,8.85,8.257700982,6.077336797,0.328,0.33695652,81,58,19,31,44,6.71,4.73,1.42,2.90,16%,11%,5%,63%,26%,41%,32%,46%,27%,27%
Adrian Houser,CHC,2024,AAA,31,35.1,0,4,6.37,4.531313527,5.004704255,0.279,0.32142857,39,25,3,12,25,6.37,3.06,2.08,0.76,16%,8%,8%,58%,23%,50%,27%,49%,23%,28%
Chris Devenski,TBR,2024,AAA,33,29,0,1,3.1,3.020539902,3.62612518,0.196,0.28787879,21,10,2,10,39,12.10,3.10,3.90,0.62,33%,9%,25%,74%,28%,36%,36%,44%,32%,24%
Mike Clevinger,CHW,2024,AAA,33,21.2,0,0,5.4,5.507510803,5.264664725,0.303,0.35384615,27,13,4,7,20,8.31,2.91,2.86,1.66,20%,7%,13%,76%,29%,33%,38%,41%,35%,25%
Ken Giles,ATL,2024,AAA,33,38.2,4,2,6.28,5.19835968,3.670964345,0.212,0.2875,31,27,8,22,58,13.50,5.12,2.64,1.86,34%,13%,21%,63%,29%,43%,29%,49%,19%,32%
Zach Davies,KCR,2024,AAA,31,21,1,1,4.29,4.95000193,5.937541654,0.238,0.25714286,20,10,2,9,12,5.14,3.86,1.33,0.86,13%,10%,3%,69%,25%,38%,37%,46%,30%,24%
Matt Carasiti,COL,2024,AAA,32,34.1,3,1,4.98,4.607448141,4.687963046,0.229,0.3253012,30,19,3,26,45,11.80,6.82,1.73,0.79,28%,16%,12%,72%,26%,46%,27%,48%,26%,27%
Jesse Hahn,LAD,2024,AAA,34,50.1,5,1,4.29,4.70814421,5.023654846,0.197,0.27350427,34,24,2,37,54,9.66,6.62,1.46,0.36,25%,17%,8%,70%,20%,60%,19%,41%,19%,40%
Adrian Sampson,TEX,2024,AAA,32,137.1,8,10,5.64,5.151933235,5.249423972,0.301,0.35227273,174,86,19,46,120,7.86,3.01,2.61,1.25,19%,7%,12%,61%,29%,40%,32%,45%,29%,26%
Luis Cessa,PIT,2024,AAA,32,102.2,4,7,4.73,5.254114651,5.000644377,0.264,0.29354839,106,54,15,43,77,6.75,3.77,1.79,1.31,17%,10%,8%,61%,28%,42%,30%,51%,23%,26%
Steven Matz,STL,2024,"AA,AAA",33,27.2,0,2,3.25,3.289194846,3.741604301,0.248,0.3125,27,10,2,6,27,8.78,1.95,4.50,0.65,23%,5%,18%,58%,29%,44%,28%,43%,15%,42%
Matt Koch,COL,2024,AAA,33,54,6,5,4.83,5.445083279,5.195779815,0.317,0.34615385,73,29,10,8,38,6.33,1.33,4.75,1.67,16%,3%,12%,67%,27%,39%,34%,46%,26%,28%
Connor Sadzeck,PIT,2024,AAA,32,63.2,4,3,4.66,4.527164656,5.213409088,0.261,0.34224599,67,33,3,42,67,9.47,5.94,1.60,0.42,22%,14%,8%,70%,26%,49%,25%,41%,23%,36%
Matt Bowman,SEA,2024,AAA,33,33.2,3,0,1.87,3.558630526,3.249762469,0.197,0.25974026,24,7,4,9,41,10.96,2.41,4.56,1.07,31%,7%,24%,88%,18%,53%,29%,41%,23%,36%
Carl Edwards Jr.,SDP,2024,"AAA,CPX",32,70,3,7,4.11,5.474951546,5.135051197,0.257,0.31550802,69,32,10,43,71,9.13,5.53,1.65,1.29,23%,14%,9%,72%,23%,46%,31%,41%,25%,35%
Sal Romano,BOS,2024,AAA,30,25.1,0,1,9.24,6.608523615,5.958627314,0.301,0.31325301,31,26,5,13,15,5.33,4.62,1.15,1.78,13%,11%,2%,50%,23%,46%,31%,36%,39%,25%
Robert Gsellman,WSN,2024,AAA,30,36,0,2,8.75,4.874605105,5.377591252,0.304,0.37272727,45,35,4,19,34,8.50,4.75,1.79,1.00,20%,11%,9%,50%,20%,46%,34%,41%,23%,36%
Joey Krehbiel,SEA,2024,AAA,31,58,5,3,3.26,4.402937685,4.789199921,0.191,0.23225806,41,21,5,25,55,8.53,3.88,2.20,0.78,23%,10%,12%,67%,24%,45%,31%,49%,23%,28%
Kyle Barraclough,TEX,2024,AAA,34,55.1,1,4,3.74,4.231562566,5.40248999,0.212,0.29710145,44,23,3,35,67,10.90,5.69,1.91,0.49,27%,14%,13%,74%,20%,39%,42%,41%,26%,32%
Tyler Duffey,KCR,2024,AAA,33,30.2,3,3,2.35,3.275571319,4.127676195,0.207,0.275,24,8,2,11,34,9.98,3.23,3.09,0.59,27%,9%,18%,81%,19%,45%,36%,56%,20%,24%
Ty Blach,COL,2024,AAA,33,41,1,2,4.17,5.468118509,4.714208916,0.253,0.25984252,40,19,7,6,24,5.27,1.32,4.00,1.54,14%,4%,11%,71%,22%,53%,25%,54%,18%,28%
Amir Garrett,LAA,2024,AAA,32,33.2,3,2,5.08,4.903278937,4.811514798,0.258,0.3452381,34,19,5,16,43,11.50,4.28,2.69,1.34,28%,11%,18%,67%,22%,40%,39%,41%,17%,42%
Jackson Stephens,ATL,2024,AAA,30,46.2,2,7,3.86,3.590478118,4.218546758,0.254,0.33333333,46,20,3,17,49,9.45,3.28,2.88,0.58,24%,8%,16%,63%,28%,42%,30%,45%,20%,35%
Daniel Camarena,SDP,2024,"A,A+,AA,AAA,CPX",31,59.1,1,9,7.74,8.14446413,6.190744295,0.309,0.31216931,77,51,18,34,42,6.37,5.16,1.24,2.73,15%,12%,3%,64%,21%,41%,38%,51%,28%,21%
Duane Underwood Jr.,NYY,2024,AAA,29,38.2,3,1,3.26,5.612152729,5.315055651,0.222,0.26530612,32,14,6,24,40,9.31,5.59,1.67,1.40,23%,14%,9%,85%,24%,39%,37%,41%,18%,40%
Ty Buttrey,SEA,2024,AAA,31,29,0,2,9,5.833972168,5.216375846,0.31,0.37078652,39,29,6,14,31,9.62,4.34,2.21,1.86,22%,10%,12%,52%,29%,35%,35%,38%,25%,37%
Wes Parsons,CLE,2024,AAA,31,25.2,0,1,4.21,6.101516768,5.390023384,0.222,0.29310345,22,12,5,21,36,12.62,7.36,1.71,1.75,29%,17%,12%,85%,23%,35%,42%,41%,24%,35%
Dylan Covey,PHI,2024,"A,AA,AAA",32,20.1,0,2,2.66,3.767736961,3.637685304,0.216,0.27777778,16,6,1,9,19,8.41,3.98,2.11,0.44,23%,11%,12%,77%,22%,65%,13%,49%,25%,25%
Chad Kuhl,CHW,2024,AAA,31,56,1,3,4.34,5.211906692,5.43151409,0.248,0.28930818,51,27,5,33,42,6.75,5.30,1.27,0.80,17%,14%,4%,72%,19%,53%,27%,55%,17%,28%
Yacksel Rios,NYM,2024,AAA,31,30,3,1,3.3,4.935716216,5.447231199,0.227,0.29487179,25,11,2,22,30,9.00,6.60,1.36,0.60,22%,16%,6%,78%,29%,43%,29%,46%,25%,29%
Kyle McGowin,CHC,2024,"AA,AAA",32,75.1,2,4,4.66,4.34805452,4.567191079,0.248,0.30143541,72,39,9,27,72,8.60,3.23,2.67,1.08,22%,8%,14%,70%,26%,35%,40%,43%,24%,33%
Rob Zastryzny,MIL,2024,AAA,32,29.2,4,0,3.03,3.36680238,3.50645667,0.183,0.25373134,20,10,3,11,39,11.83,3.34,3.55,0.91,33%,9%,23%,78%,22%,43%,35%,34%,26%,40%
Ben Heller,PIT,2024,"A,AAA",32,37,2,3,3.16,3.567624863,2.666177354,0.165,0.25,22,13,6,13,63,15.32,3.16,4.85,1.46,42%,9%,34%,81%,25%,36%,39%,47%,16%,37%
Tyler Danish,COL,2024,AAA,29,39.2,1,6,7.71,6.329770167,7.08457282,0.353,0.3986014,61,34,4,31,26,5.90,7.03,0.84,0.91,13%,15%,-2%,58%,33%,36%,31%,39%,28%,33%
Alan Busenitz,CIN,2024,AAA,33,66.1,5,4,4.07,4.02131089,4.498526845,0.252,0.30851064,64,30,6,22,60,8.14,2.98,2.73,0.81,22%,8%,14%,67%,24%,45%,32%,49%,21%,30%
Cole Sulser,TBR,2024,AAA,34,43.1,3,2,1.66,4.307511142,4.134990444,0.167,0.2,25,8,5,18,45,9.35,3.74,2.50,1.04,27%,11%,16%,84%,18%,51%,31%,46%,21%,33%
Austin Pruitt,TEX,2024,"AAA,CPX",34,29,4,3,7.45,5.849558626,5.975917634,0.32,0.36082474,40,24,5,10,23,7.14,3.10,2.30,1.55,17%,7%,9%,58%,21%,37%,42%,45%,23%,32%
Kevin Herget,MIL,2024,AAA,33,47.2,5,1,2.27,2.457161556,3.231643746,0.201,0.2962963,34,12,2,11,59,11.14,2.08,5.36,0.38,32%,6%,26%,77%,30%,38%,32%,35%,27%,37%
Matthew Boyd,CLE,2024,"AA,AAA,CPX",33,21.2,1,0,0.83,1.430448556,2.837014233,0.16,0.25,12,2,0,2,27,11.22,0.83,13.50,0.00,35%,3%,32%,71%,15%,40%,45%,47%,18%,35%
Zack Weiss,MIN,2024,"A,AAA,CPX",32,29,2,1,4.66,4.231647814,4.226493466,0.314,0.41975309,37,15,3,13,34,10.55,4.03,2.62,0.93,25%,10%,16%,76%,30%,43%,27%,54%,22%,24%
Mike Mayers,TOR,2024,AAA,32,41.1,2,5,6.1,4.633565809,5.810997761,0.271,0.35344828,45,28,4,22,46,10.02,4.79,2.09,0.87,24%,11%,12%,61%,23%,30%,47%,40%,25%,35%
Stephen Gonsalves,LAD,2024,"AAA,CPX",29,36,4,2,6.75,6.830166663,6.999175486,0.248,0.3452381,34,27,5,43,48,12.00,10.75,1.12,1.25,26%,23%,3%,73%,25%,30%,45%,47%,27%,27%
Nick Wittgren,MIN,2024,"AA,AAA",33,59.2,2,3,5.58,5.878210369,4.667157395,0.285,0.30726257,70,37,15,14,52,7.84,2.11,3.71,2.26,20%,5%,15%,69%,30%,33%,37%,46%,30%,24%
