Name,Team,Season,Age,G,PA,H,1B,2B,3B,HR,RBI,BB,SO,GDP,SB,CS,BB%,K%,BB/K,AVG,wOBA,OBP,SLG,OPS,ISO,wRC,wRC+,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
Aaron Judge,NYY,2024,32,158,704,180,85,36,1,58,144,133,171,22,10,0,19%,24%,0.78,0.322,0.476,0.458,0.701,1.159,0.379,176,218,23%,31%,46%,0.66,40%,35%,25%,7%,45%,48%
Abraham Toro,OAK,2024,27,94,364,81,57,17,1,6,26,20,62,4,4,2,5%,17%,0.32,0.240,0.283,0.293,0.350,0.643,0.110,35,87,19%,44%,36%,1.22,41%,36%,23%,17%,58%,25%
Adam Duvall,ATL,2024,35,104,330,55,34,10,0,11,30,21,99,6,0,0,6%,30%,0.21,0.182,0.252,0.245,0.323,0.569,0.142,23,58,18%,31%,51%,0.62,52%,30%,18%,22%,43%,34%
Adam Frazier,KCR,2024,32,104,294,53,38,10,1,4,22,22,59,0,3,0,7%,20%,0.37,0.202,0.261,0.282,0.294,0.576,0.092,23,63,25%,38%,36%,1.05,40%,33%,27%,19%,57%,24%
Addison Barger,TOR,2024,24,69,225,41,23,11,0,7,28,14,60,1,2,0,6%,27%,0.23,0.197,0.262,0.250,0.351,0.601,0.154,18,70,21%,42%,36%,1.17,38%,34%,28%,21%,43%,36%
Adley Rutschman,BAL,2024,26,148,638,143,102,21,1,19,79,58,103,9,1,0,9%,16%,0.56,0.250,0.309,0.318,0.391,0.709,0.140,74,104,23%,35%,43%,0.80,42%,36%,22%,16%,56%,29%
Adolis García,TEX,2024,31,154,637,130,78,27,0,25,85,45,177,12,11,5,7%,28%,0.25,0.224,0.296,0.284,0.400,0.684,0.176,67,92,19%,38%,43%,0.89,40%,32%,28%,17%,46%,36%
Alec Bohm,PHI,2024,27,143,606,155,94,44,2,15,97,40,86,18,5,2,7%,14%,0.47,0.280,0.335,0.332,0.448,0.779,0.168,83,115,21%,46%,33%,1.40,36%,37%,27%,14%,50%,36%
Alec Burleson,STL,2024,25,152,595,147,106,20,0,21,78,35,76,8,9,4,6%,13%,0.46,0.269,0.319,0.314,0.420,0.735,0.152,74,106,21%,42%,37%,1.13,34%,40%,27%,13%,57%,29%
Alejandro Kirk,TOR,2024,25,103,386,86,61,19,1,5,54,35,51,11,0,0,9%,13%,0.69,0.253,0.297,0.319,0.359,0.677,0.106,41,94,22%,45%,33%,1.38,34%,34%,32%,16%,50%,34%
Alek Thomas,ARI,2024,24,39,103,18,9,5,1,3,17,7,17,7,4,1,7%,17%,0.41,0.189,0.262,0.245,0.358,0.603,0.168,8,65,16%,61%,24%,2.56,43%,37%,20%,10%,48%,42%
Alex Bregman,HOU,2024,30,145,634,151,93,30,2,26,75,44,86,13,3,1,7%,14%,0.51,0.260,0.331,0.315,0.453,0.768,0.193,85,118,18%,36%,45%,0.81,40%,34%,26%,18%,52%,30%
Alex Call,WSN,2024,29,30,113,34,22,9,0,3,14,12,19,2,5,1,11%,17%,0.63,0.343,0.412,0.425,0.525,0.950,0.182,22,167,21%,44%,35%,1.25,41%,31%,28%,16%,50%,34%
Alex Jackson,TBR,2024,28,58,155,17,7,7,0,3,12,12,53,2,1,0,8%,34%,0.23,0.122,0.200,0.201,0.237,0.439,0.115,4,29,10%,40%,49%,0.81,39%,42%,19%,19%,55%,26%
