Name,Team,Season,Age,W,L,IP,WAR,ERA,xERA,FIP,xFIP,AVG,WHIP,BABIP,K%,BB%,LOB%,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrel%,K/9,BB/9,K/BB,HR/9,GB/FB,HR/FB,EV,LA,,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc)
Mason Miller,OAK,2024,25,2,2,65,2.3,2.49,1.76,2.18,2.21,0.159,0.88,0.256,42%,8%,71%,16%,41%,43%,32%,35%,33%,23%,50%,28%,6%,14.4,2.9,5,0.8,0.9,0.1,86.1,17.9,,63%,,,0%,,,0.34960938,,,,2%,,,,100.9,,,96.5,,,87.5,,,,92.3,,,-6.22,,,-10.05,,,3.27,,,,-8.08,,,9.91,,,3.39,,,-0.81,,,,2.97,,,11.83,,,0.14,,,6.80,,,,1.09,,
Kirby Yates,TEX,2024,37,7,2,61.2,1.9,1.17,1.81,2.5,3.12,0.111,0.83,0.168,36%,12%,88%,12%,45%,42%,42%,36%,21%,17%,60%,24%,4%,12.4,4.1,3,0.4,1.1,0.1,87.5,15.2,,61%,,,39%,,,0.00584226,,,,,,,,93.1,,,86.3,,,85.8,,,,,,,-8.70,,,-8.31,,,-1.48,,,,,,,8.54,,,0.30,,,1.97,,,,,,,14.52,,,7.31,,,0.02,,,,,,
Raisel Iglesias,ATL,2024,34,6,2,69.1,1.6,1.95,2.26,2.65,3.38,0.156,0.74,0.199,26%,5%,72%,16%,44%,40%,35%,37%,29%,17%,59%,23%,3%,8.8,1.7,5.2,0.5,1.1,0.1,86,14.2,,28%,,,,,20%,0.20689655,,,,31%,,,,95.5,,,,,95.6,84.2,,,,89.5,,,-5.17,,,,,-9.90,5.45,,,,-10.01,,,9.04,,,,,6.03,2.19,,,,2.94,,,6.24,,,,,4.81,3.24,,,,9.86,,
Griffin Jax,MIN,2024,29,5,5,71,2.6,2.03,2.34,1.94,2.32,0.181,0.87,0.269,34%,5%,77%,16%,52%,32%,42%,36%,23%,23%,45%,32%,8%,12,1.9,6.3,0.5,1.6,0.1,88.2,6.3,,30%,,,,,10%,0.37453184,6%,,,17%,,,,97.1,,,,,96.7,88.8,86.5,,,92.3,,,-3.62,,,,,-8.59,6.97,2.38,,,-8.09,,,9.34,,,,,6.31,-0.71,-7.73,,,1.65,,,7.88,,,,,2.58,3.95,0.70,,,1.81,,
Emmanuel Clase,CLE,2024,26,4,2,74.1,2.2,0.61,2.42,2.22,2.81,0.151,0.66,0.195,24%,4%,85%,18%,57%,24%,35%,40%,26%,17%,60%,22%,4%,8,1.2,6.6,0.2,2.4,0,86.5,3,,1%,,78%,,,0%,0.20549339,,,,,,,,99.8,,99.5,,,100.7,91.0,,,,,,,-3.32,,1.70,,,-5.72,3.72,,,,,,,8.11,,6.97,,,7.52,1.66,,,,,,,-0.41,,24.97,,,0.03,5.75,,,,,,
Matt Strahm,PHI,2024,32,6,2,62.2,2.1,1.87,2.48,2.29,3.15,0.164,0.75,0.234,33%,5%,82%,19%,31%,50%,42%,33%,25%,17%,55%,28%,7%,11.3,1.6,7.2,0.6,0.6,0.1,89.2,21.6,,54%,,12%,,,15%,0.19469929,,,,,,,,93.4,,88.4,,,93.4,81.5,,,,,,,9.03,,0.69,,,10.74,-6.15,,,,,,,9.26,,4.70,,,6.15,0.97,,,,,,,12.85,,2.03,,,2.11,1.26,,,,,,
Edwin Díaz,NYM,2024,30,6,4,53.2,1.1,3.52,2.48,3.02,2.59,0.187,1.04,0.284,39%,9%,73%,15%,44%,41%,50%,30%,19%,22%,51%,27%,6%,14.1,3.4,4.2,1.2,1.1,0.2,85.9,13.9,,52%,,,,,,0.47916667,,,,,,,,97.5,,,,,,89.6,,,,,,,-8.38,,,,,,-0.09,,,,,,,7.43,,,,,,3.10,,,,,,,3.06,,,,,,3.81,,,,,,
Joe Jiménez,ATL,2024,29,1,5,68.2,1.8,2.62,2.48,2.34,3.52,0.18,0.99,0.259,30%,8%,72%,16%,42%,43%,46%,33%,21%,14%,56%,30%,5%,10.7,3,3.6,0.3,1,0,87.8,16.3,,46%,,,,,,0.49586777,,,,4%,,,,94.5,,,,,,84.6,,,,89.0,,,-5.92,,,,,,2.37,,,,-9.94,,,9.96,,,,,,1.88,,,,4.33,,,7.45,,,,,,9.37,,,,1.21,,
Cade Smith,CLE,2024,25,6,1,75.1,2.7,1.91,2.5,1.4,2.41,0.19,0.9,0.303,36%,6%,79%,21%,44%,36%,33%,39%,28%,12%,61%,27%,8%,12.3,2,6.1,0.1,1.2,0,90.4,11.8,,69%,,,21%,,,0.10205832,,,,,,,,96.0,,,88.4,,,82.1,,,,,,,-5.63,,,-6.63,,,6.95,,,,,,,9.36,,,1.02,,,1.26,,,,,,,23.35,,,1.82,,,-3.02,,,,,,
Paul Skenes,PIT,2024,22,11,3,133,4.3,1.96,2.5,2.44,2.54,0.197,0.95,0.284,33%,6%,86%,18%,51%,31%,46%,32%,22%,19%,57%,24%,5%,11.5,2.2,5.3,0.7,1.7,0.1,87.8,8.4,,39%,,,,,28%,0.16188235,11%,,,5%,,,,98.8,,,,,94.0,85.4,83.0,,,87.3,,,-8.94,,,,,-8.55,3.61,3.31,,,-10.66,,,6.33,,,,,0.74,3.54,-2.11,,,2.40,,,5.30,,,,,21.23,2.76,-0.41,,,2.67,,
Keegan Akin,BAL,2024,29,3,1,78.2,1.4,3.32,2.52,2.99,3.27,0.188,0.94,0.247,31%,6%,71%,14%,37%,49%,42%,31%,27%,17%,53%,30%,8%,11.1,2.2,5.1,1,0.8,0.1,88.3,18.5,,56%,,,,,,0.33199033,,,,11%,,,,93.9,,,,,,85.5,,,,85.6,,,6.38,,,,,,-1.45,,,,9.42,,,10.75,,,,,,1.98,,,,5.63,,,6.75,,,,,,6.50,,,,-0.36,,
Robert Garcia,WSN,2024,28,3,6,59.2,1.5,4.22,2.52,2.38,2.77,0.235,1.19,0.329,30%,6%,57%,21%,47%,32%,36%,38%,26%,21%,52%,26%,3%,11.3,2.4,4.7,0.6,1.4,0.1,87.7,11.5,,53%,,,,,,0.15961945,,,,31%,,,,94.5,,,,,,85.5,,,,87.7,,,7.07,,,,,,-1.73,,,,9.46,,,7.96,,,,,,1.20,,,,1.45,,,4.56,,,,,,-0.74,,,,6.26,,
Blake Snell,SFG,2024,31,5,3,104,3.1,3.12,2.54,2.43,3.01,0.174,1.05,0.266,35%,11%,71%,17%,42%,41%,40%,33%,26%,17%,57%,25%,6%,12.5,3.8,3.3,0.5,1,0.1,86.5,14.6,,46%,,,,,,0.10050819,26%,,,18%,,,,95.9,,,,,,88.7,81.1,,,85.5,,,3.93,,,,,,-0.44,-6.29,,,8.34,,,11.13,,,,,,4.64,-4.44,,,6.39,,,9.52,,,,,,0.19,10.35,,,2.95,,
Jeremiah Estrada,SDP,2024,25,6,3,61,1.6,2.95,2.56,2.07,2.65,0.183,1.07,0.29,37%,9%,72%,22%,35%,43%,40%,37%,24%,18%,51%,31%,5%,13.9,3.4,4.1,0.6,0.8,0.1,89.2,17.5,,57%,,,20%,,,0.23629113,,,,,,,,97.2,,,83.6,,,89.8,,,,,,,-1.01,,,-6.98,,,2.52,,,,,,,11.40,,,5.57,,,3.39,,,,,,,8.10,,,2.27,,,1.74,,,,,,
Ryan Walker,SFG,2024,28,10,4,80,1.7,1.91,2.6,2.52,2.8,0.178,0.85,0.254,32%,6%,83%,21%,47%,32%,38%,34%,28%,18%,54%,27%,6%,11.1,2,5.5,0.6,1.4,0.1,86.4,9.8,,0%,,,,,55%,0.44717445,,,,,,,,94.2,,,,,95.6,83.9,,,,,,,-5.07,,,,,-9.58,7.36,,,,,,,5.56,,,,,1.96,1.50,,,,,,,-0.38,,,,,12.22,9.61,,,,,,
Tyler Glasnow,LAD,2024,30,9,6,134,3.8,3.49,2.62,2.9,2.68,0.189,0.95,0.253,32%,7%,70%,17%,49%,35%,38%,41%,21%,17%,54%,29%,8%,11.3,2.4,4.8,1,1.4,0.1,89,9.2,,45%,,,,,9%,0.27661692,19%,,,,,,,96.3,,,,,96.6,90.0,83.7,,,,,,-0.64,,,,,-6.63,0.79,1.36,,,,,,9.60,,,,,8.58,0.59,-6.41,,,,,,9.44,,,,,1.32,6.41,7.21,,,,,
Dylan Lee,ATL,2024,29,4,2,59.2,0.8,2.11,2.62,3,3.15,0.22,1.11,0.3,32%,7%,84%,19%,35%,46%,50%,35%,15%,11%,61%,28%,7%,11.5,2.6,4.5,1.1,0.8,0.1,87.5,16.8,,33%,,,,,,0.54714785,,,,12%,,,,92.4,,,,,,84.0,,,,85.7,,,4.94,,,,,,-0.77,,,,7.31,,,11.29,,,,,,3.62,,,,7.08,,,2.25,,,,,,5.76,,,,-0.53,,
Ryan Helsley,STL,2024,29,7,4,66.1,2.3,2.04,2.66,2.41,3.35,0.206,1.1,0.292,30%,9%,78%,22%,37%,41%,32%,40%,28%,16%,54%,29%,4%,10.7,3.1,3.4,0.4,0.9,0,89.5,18.3,,45%,,,,,,0.48335124,6%,,,,,,,99.6,,,,,,89.2,81.1,,,,,,-2.03,,,,,,2.24,1.97,,,,,,10.38,,,,,,0.95,-5.63,,,,,,3.29,,,,,,12.60,0.86,,,,,
Josh Hader,HOU,2024,30,8,8,71,0.9,3.8,2.68,3.5,2.93,0.171,0.96,0.23,38%,9%,69%,17%,30%,52%,34%,44%,22%,13%,58%,29%,10%,13.3,3.2,4.2,1.5,0.6,0.2,89.7,21.2,,,,,,,72%,0.27444254,,,,1%,,,,,,,,,96.1,85.5,,,,89.3,,,,,,,,5.10,0.30,,,,7.58,,,,,,,,11.39,1.63,,,,4.30,,,,,,,,6.48,7.88,,,,-1.23,,
Tarik Skubal,DET,2024,27,18,4,192,5.9,2.39,2.68,2.49,2.83,0.2,0.92,0.273,30%,5%,80%,18%,46%,36%,39%,36%,26%,18%,57%,25%,7%,10.7,1.6,6.5,0.7,1.3,0.1,87.4,12,,33%,,,,,21%,0.14910116,,4%,,27%,,,,96.8,,,,,96.6,88.7,,78.5,,86.3,,,4.16,,,,,8.87,-0.80,,-2.79,,9.00,,,9.60,,,,,7.32,3.75,,-4.46,,3.83,,,17.30,,,,,7.29,3.32,,1.51,,8.74,,
Hunter Gaddis,CLE,2024,26,6,3,74.2,1.6,1.57,2.68,2.82,3.94,0.165,0.76,0.205,24%,5%,81%,15%,38%,46%,42%,35%,24%,16%,55%,29%,6%,8,1.7,4.7,0.5,0.8,0,88.5,18.8,,38%,,,,,,0.44837209,,,,17%,,,,95.4,,,,,,89.1,,,,80.3,,,-4.80,,,,,,2.01,,,,-11.34,,,9.65,,,,,,2.84,,,,4.57,,,4.71,,,,,,12.51,,,,4.21,,
Jhoan Duran,MIN,2024,26,6,9,54.1,1.2,3.64,2.7,2.85,2.7,0.232,1.16,0.321,29%,7%,62%,18%,61%,21%,38%,33%,28%,26%,54%,20%,4%,10.9,2.5,4.4,0.7,2.9,0.1,87,-3.1,,41%,,,31%,,,,28%,,,,,,,100.5,,,97.0,,,,86.1,,,,,,-7.72,,,-7.18,,,,2.79,,,,,,7.24,,,1.64,,,,-5.06,,,,,,-1.07,,,4.96,,,,-0.40,,,,,
Justin Steele,CHC,2024,28,5,5,134.2,3,3.07,2.72,3.23,3.62,0.216,1.1,0.27,24%,7%,72%,18%,45%,38%,38%,33%,29%,17%,56%,26%,4%,9,2.5,3.6,0.8,1.2,0.1,86.9,12.3,,60%,,,,,5%,0.2971652,2%,,,3%,,,,91.6,,,,,91.6,83.3,79.9,,,86.2,,,0.78,,,,,7.46,-6.29,-5.58,,,7.45,,,7.75,,,,,5.84,0.78,-4.41,,,4.85,,,4.57,,,,,0.47,10.99,1.21,,,0.21,,
A.J. Puk,ARI,2024,29,4,9,71.1,1.7,3.15,2.72,2.87,3.47,0.193,1.11,0.269,30%,10%,68%,22%,37%,41%,38%,39%,23%,22%,51%,28%,4%,11.1,3.5,3.1,0.6,0.9,0.1,86.2,16.8,,43%,,,3%,,15%,0.38022165,,,,1%,,,,95.6,,,84.4,,94.7,83.8,,,,90.3,,,7.16,,,5.68,,10.67,-3.59,,,,11.44,,,8.35,,,3.09,,4.78,0.67,,,,3.16,,,12.57,,,-1.21,,-0.32,0.44,,,,-0.33,,
Bryan Woo,SEA,2024,24,9,3,121.1,2.3,2.89,2.72,3.4,3.75,0.211,0.9,0.24,21%,3%,77%,17%,41%,42%,34%,37%,28%,14%,60%,26%,5%,7.5,1,7.8,1,1,0.1,88.8,15.6,,49%,,,,,23%,0.18658892,,,,9%,,,,94.8,,,,,94.7,84.2,,,,89.6,,,-5.90,,,,,-10.07,4.46,,,,-10.16,,,8.64,,,,,3.85,1.24,,,,2.62,,,12.08,,,,,7.30,3.92,,,,-0.01,,
Osvaldo Bido,OAK,2024,28,5,3,63.1,1.4,3.41,2.75,3.36,4.63,0.19,1.09,0.25,24%,10%,71%,22%,30%,49%,40%,35%,25%,25%,49%,26%,4%,9,3.7,2.4,0.4,0.6,0,85.6,21.7,,39%,,14%,,,10%,0.21117424,,,,15%,,,,94.8,,86.9,,,94.9,85.8,,,,88.9,,,-6.69,,-1.14,,,-10.40,2.52,,,,-10.47,,,9.40,,4.34,,,6.54,2.68,,,,5.72,,,0.75,,3.39,,,-0.74,4.09,,,,2.93,,
Tyler Holton,DET,2024,28,7,2,94.1,1.4,2.19,2.75,3.17,3.68,0.171,0.78,0.201,22%,5%,78%,17%,47%,36%,37%,42%,21%,17%,57%,26%,5%,7.3,1.6,4.5,0.7,1.3,0.1,86.6,11.4,,15%,,27%,,,22%,0.15459298,1%,,,19%,,,,92.1,,87.6,,,91.5,80.6,79.2,,,83.6,,,3.72,,-1.99,,,9.02,-7.02,-4.48,,,8.73,,,9.55,,4.30,,,6.18,-0.07,-8.27,,,3.08,,,9.17,,6.76,,,7.55,3.59,0.37,,,1.01,,
Chris Sale,ATL,2024,35,18,3,177.2,6.4,2.38,2.79,2.09,2.64,0.215,1.01,0.314,32%,6%,80%,22%,45%,34%,43%,32%,25%,17%,58%,25%,6%,11.4,2,5.8,0.5,1.3,0.1,86.5,9.6,,38%,,,,,7%,0.40319716,,,,15%,,,,94.8,,,,,94.2,78.6,,,,87.1,,,9.45,,,,,11.08,-5.29,,,,10.08,,,5.76,,,,,1.61,-2.87,,,,0.16,,,-1.29,,,,,-4.01,24.56,,,,12.28,,
Aaron Bummer,ATL,2024,30,4,3,55.1,1.1,3.58,2.79,2.23,2.52,0.272,1.43,0.386,28%,7%,73%,21%,60%,19%,37%,37%,25%,17%,59%,24%,1%,11.2,2.9,3.8,0.3,3.2,0.1,86.6,0,,10%,,5%,,,40%,0.41786448,2%,,,1%,,,,93.6,,87.4,,,93.1,82.3,82.2,,,84.2,,,7.06,,-0.55,,,9.42,-7.86,-5.22,,,8.94,,,5.92,,1.88,,,0.26,-0.34,-4.43,,,1.48,,,1.59,,-2.18,,,-0.86,2.37,-0.40,,,-0.14,,
Zack Wheeler,PHI,2024,34,16,7,200,5.4,2.57,2.81,3.13,3.3,0.191,0.96,0.246,28%,7%,80%,18%,43%,39%,35%,41%,24%,21%,50%,29%,8%,10.1,2.3,4.3,0.9,1.1,0.1,86.7,13,,42%,,9%,7%,,19%,0.12483531,10%,,,,,,,95.3,,91.1,86.1,,94.6,84.9,81.8,,,,,,-6.16,,-0.30,-7.92,,-10.42,4.73,4.20,,,,,,8.38,,4.81,3.30,,3.94,2.31,-4.93,,,,,,11.13,,-0.65,3.30,,15.65,3.96,-3.00,,,,,
Alex Vesia,LAD,2024,28,5,4,66.1,1.1,1.76,2.81,3.45,4.09,0.144,0.99,0.193,33%,13%,84%,13%,22%,65%,33%,37%,30%,22%,54%,24%,12%,11.8,4.5,2.6,0.9,0.3,0.1,87.5,30,,63%,,,,,,0.31626235,,,,5%,,,,93.4,,,,,,85.0,,,,85.5,,,3.64,,,,,,-3.70,,,,4.04,,,11.66,,,,,,2.63,,,,8.31,,,8.44,,,,,,6.84,,,,-1.14,,
Jeff Hoffman,PHI,2024,31,3,3,66.1,2,2.17,2.83,2.52,2.8,0.195,0.96,0.278,34%,6%,80%,22%,38%,41%,48%,32%,20%,17%,52%,31%,8%,12.1,2.2,5.6,0.8,0.9,0.1,88.3,17.3,,39%,,,12%,,8%,0.40759241,,,,,,,,96.6,,,90.5,,96.7,86.8,,,,,,,-7.82,,,-9.64,,-10.40,2.22,,,,,,,10.12,,,2.79,,8.50,-1.01,,,,,,,4.70,,,-0.72,,2.83,5.11,,,,,,
Garrett Crochet,CHW,2024,25,6,12,146,4.7,3.58,2.83,2.69,2.38,0.221,1.07,0.318,35%,6%,74%,19%,45%,36%,39%,35%,26%,18%,49%,33%,9%,12.9,2,6.3,1.1,1.2,0.1,88.3,11.1,,54%,,28%,,,2%,0.09828524,,,,6%,,,,97.2,,91.6,,,97.9,84.3,,,,91.0,,,5.43,,-1.37,,,9.46,-7.35,,,,9.64,,,9.20,,3.70,,,4.85,0.07,,,,5.62,,,21.30,,-0.94,,,2.02,-5.38,,,,-0.51,,
Tyler Rogers,SFG,2024,33,3,4,70.1,0.6,2.82,2.9,3.56,3.69,0.242,1.04,0.274,18%,2%,81%,16%,54%,29%,36%,33%,31%,24%,52%,23%,4%,6.5,0.8,8.5,0.9,1.8,0.1,85.2,7.5,,1%,,,,,64%,0.35528942,,,,,,,,82.7,,,,,82.3,73.6,,,,,,,-4.98,,,,,-1.64,3.78,,,,,,,-6.32,,,,,-7.58,6.98,,,,,,,-0.38,,,,,9.41,-3.89,,,,,,
