Name,Team,Age,G,PA,WAR,wRC+,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,BsR,Off,Def
Juan Soto,NYY,25,157,713,8.1,179.6,41,128,109,7,18%,17%,0.281,0.298,0.288,0.419,0.569,0.421,0.463,-3.8,61.1,-6.1
Willy Adames,MIL,28,161,688,4.8,119.4,32,93,112,21,11%,25%,0.211,0.297,0.251,0.331,0.462,0.342,0.344,1.2,17.2,5.9
Jurickson Profar,SDP,31,158,668,4.3,139.2,24,94,85,10,11%,15%,0.179,0.302,0.280,0.380,0.459,0.365,0.364,-0.8,30.6,-11.1
Alex Bregman,HOU,30,145,634,4.1,118.0,26,79,75,3,7%,14%,0.193,0.264,0.260,0.315,0.453,0.331,0.323,-2.3,10.7,8.1
Teoscar Hernández,LAD,31,154,652,3.5,133.6,33,84,99,12,8%,29%,0.229,0.344,0.272,0.339,0.501,0.360,0.348,0.6,26.8,-14.8
Anthony Santander,BAL,29,155,665,3.3,129.2,44,91,102,2,9%,19%,0.271,0.225,0.235,0.308,0.506,0.345,0.328,-2.7,19.5,-9.6
Carlos Santana,MIN,38,150,594,3,114.1,23,63,71,4,11%,17%,0.182,0.252,0.238,0.328,0.420,0.326,0.33,-0.9,8.6,0.8
Christian Walker,ARI,33,130,552,3,119.2,26,72,84,2,10%,24%,0.217,0.287,0.251,0.335,0.468,0.343,0.354,-3.2,9.4,1.3
Joc Pederson,ARI,32,132,449,3,151.2,23,62,64,7,12%,23%,0.240,0.322,0.275,0.393,0.515,0.391,0.381,-1.1,26.4,-12.6
Ha-Seong Kim,SDP,28,121,470,2.6,100.9,11,60,47,22,12%,16%,0.136,0.261,0.233,0.330,0.370,0.308,0.316,2.3,2.8,7.2
Jose Iglesias,NYM,34,85,291,2.5,136.7,4,39,26,6,4%,13%,0.111,0.382,0.337,0.381,0.448,0.362,0.312,-0.2,12.6,2.3
Tyler O'Neill,BOS,29,113,473,2.5,131.0,31,74,61,4,11%,34%,0.270,0.305,0.241,0.336,0.511,0.360,0.342,-0.8,16.0,-7.7
Pete Alonso,NYM,29,162,695,2.1,121.9,34,91,88,3,10%,25%,0.219,0.276,0.240,0.329,0.459,0.340,0.345,-4.3,14.0,-16.9
Josh Rojas,SEA,30,143,476,1.9,91.0,8,48,31,10,10%,23%,0.111,0.282,0.225,0.304,0.336,0.286,0.295,-1.6,-6.5,8.9
Travis d'Arnaud,ATL,35,99,341,1.8,103.0,15,40,48,1,7%,26%,0.199,0.280,0.238,0.302,0.436,0.319,0.323,-1.2,0.0,6.4
Carson Kelly,- - -,29,91,313,1.8,98.5,9,32,37,0,8%,18%,0.135,0.266,0.238,0.313,0.374,0.304,0.317,-3.0,-3.5,10.5
Gleyber Torres,NYY,27,154,665,1.7,103.7,15,80,63,4,10%,20%,0.121,0.306,0.257,0.330,0.378,0.313,0.31,-4.6,-1.7,-3.7
Paul DeJong,- - -,30,139,482,1.7,95.0,24,54,56,2,5%,32%,0.200,0.285,0.227,0.276,0.427,0.302,0.293,-2.4,-5.1,5.8
Kyle Higashioka,SDP,34,84,263,1.6,104.6,17,29,45,2,6%,28%,0.256,0.237,0.220,0.263,0.476,0.314,0.301,-1.2,0.3,6.0
Randal Grichuk,ARI,32,106,279,1.5,139.1,12,40,46,0,7%,16%,0.236,0.313,0.291,0.348,0.528,0.373,0.368,0.6,13.6,-8.0
Kevin Newman,ARI,30,111,311,1.4,88.9,3,41,28,8,5%,15%,0.097,0.322,0.278,0.311,0.375,0.298,0.272,0.9,-3.2,6.5
Yasmani Grandal,PIT,35,72,243,1.4,94.6,9,26,27,1,10%,19%,0.172,0.248,0.228,0.304,0.400,0.308,0.327,-1.1,-2.6,7.7
Harrison Bader,NYM,30,143,437,1.3,85.2,12,57,51,17,5%,22%,0.137,0.276,0.236,0.284,0.373,0.285,0.296,-1.7,-9.4,7.7
Michael Conforto,SFG,31,130,488,1.3,111.5,20,56,66,0,9%,24%,0.212,0.277,0.237,0.309,0.450,0.327,0.352,-1.8,5.0,-8.9
Jesse Winker,- - -,30,145,508,1.3,118.3,14,63,58,14,12%,21%,0.151,0.304,0.253,0.360,0.405,0.338,0.329,-2.8,8.3,-13.1
Justin Turner,- - -,39,139,539,1.2,116.6,11,59,55,0,11%,18%,0.124,0.299,0.259,0.354,0.383,0.327,0.33,-4.5,5.8,-12.3
Paul Goldschmidt,STL,36,154,654,1.1,99.7,22,70,65,11,7%,26%,0.169,0.308,0.245,0.302,0.414,0.310,0.333,-0.1,-0.3,-10.7
Mike Tauchman,CHC,33,109,350,1.1,111.2,7,50,29,6,13%,20%,0.117,0.302,0.248,0.357,0.366,0.325,0.333,0.0,4.7,-6.2
Mark Canha,- - -,35,125,462,1,102.3,7,46,42,7,11%,21%,0.104,0.298,0.242,0.344,0.346,0.310,0.29,0.9,2.1,-7.8
