Name,Team,Age,W,L,SV,G,GS,IP,WAR,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP
Corbin Burnes,BAL,29,15,9,0,32,32,194.1,3.7,8.4,2.2,1.0,0.269,75%,48%,0.12,,2.92,3.27,3.55,3.55
Yusei Kikuchi,- - -,33,9,10,0,32,32,175.2,3.5,10.6,2.3,1.3,0.309,72%,43%,0.14,95.6,4.05,3.75,3.46,3.20
Nick Martinez,CIN,33,10,7,0,42,16,142.1,3.5,7.3,1.1,0.8,0.275,72%,37%,0.07,92.8,3.10,3.15,3.21,3.89
Max Fried,ATL,30,11,10,0,29,29,174.1,3.4,8.6,2.9,0.7,0.282,72%,59%,0.12,94.2,3.25,3.64,3.33,3.33
Michael Wacha,KCR,32,13,8,0,29,29,166.2,3.3,7.8,2.4,0.9,0.290,77%,39%,0.09,93.8,3.35,4.05,3.65,4.14
Jack Flaherty,- - -,28,13,7,0,28,28,162,3.2,10.8,2.1,1.3,0.285,81%,40%,0.15,93.4,3.17,3.51,3.48,3.00
Blake Snell,SFG,31,5,3,0,20,20,104,3.1,12.5,3.8,0.5,0.266,71%,42%,0.07,96.1,3.12,2.54,2.43,3.01
Sean Manaea,NYM,32,12,6,0,32,32,181.2,2.8,9.1,3.1,1.0,0.245,74%,38%,0.10,92.2,3.47,3.75,3.83,4.04
Nathan Eovaldi,TEX,34,12,8,0,29,29,170.2,2.7,8.8,2.2,1.2,0.271,74%,48%,0.15,95.6,3.80,3.86,3.83,3.47
Andrew Heaney,TEX,33,5,14,0,32,31,160,2.2,8.9,2.3,1.3,0.297,71%,34%,0.11,91.8,4.28,4.49,4.04,4.18
Luis Severino,NYM,30,11,7,0,31,31,182,2.1,8.0,3.0,1.1,0.283,74%,46%,0.12,96.3,3.91,3.88,4.21,4.12
Jeff Hoffman,PHI,31,3,3,10,68,0,66.1,2,12.1,2.2,0.8,0.278,80%,38%,0.09,96.9,2.17,2.83,2.52,2.80
Nick Pivetta,BOS,31,6,12,0,27,26,145.2,2,10.6,2.2,1.7,0.279,76%,34%,0.15,94.1,4.14,3.59,4.07,3.50
Trevor Williams,WSN,32,6,1,0,13,13,66.2,2,8.0,2.4,0.4,0.267,80%,45%,0.04,89.2,2.03,3.13,2.79,3.82
Kirby Yates,TEX,37,7,2,33,61,0,61.2,1.9,12.4,4.1,0.4,0.168,88%,45%,0.06,93.4,1.17,1.81,2.50,3.12
David Robertson,TEX,39,3,4,2,68,0,72,1.9,12.4,3.4,0.6,0.300,77%,49%,0.09,,3.00,3.22,2.65,2.88
Patrick Corbin,WSN,34,6,13,0,32,32,174.2,1.7,7.2,2.8,1.3,0.337,66%,46%,0.14,91.4,5.62,5.48,4.41,4.14
Tanner Scott,- - -,29,9,6,22,72,0,72,1.6,10.5,4.5,0.4,0.247,80%,50%,0.06,97.2,1.75,2.92,2.92,3.38
Kyle Gibson,STL,36,8,8,0,30,30,169.2,1.5,8.0,3.6,1.2,0.290,71%,45%,0.13,91.6,4.24,4.9,4.42,4.19
Kenley Jansen,BOS,36,4,2,27,54,0,54.2,1.4,10.2,3.3,0.7,0.260,73%,31%,0.06,,3.29,3.29,3.00,4.04
Frankie Montas,- - -,31,7,11,0,30,30,150.2,1.4,8.8,3.9,1.4,0.282,69%,42%,0.15,95.8,4.84,4.71,4.71,4.26
Chris Flexen,CHW,29,3,15,0,33,30,160,1.3,6.9,3.5,1.4,0.315,71%,36%,0.10,91.4,4.95,4.8,4.80,5.03
Lance Lynn,STL,37,7,4,0,23,23,117.1,1.3,8.4,3.4,1.2,0.287,70%,36%,0.11,92.5,3.84,4.93,4.31,4.39
Patrick Sandoval,LAA,27,2,8,0,16,16,79.2,1.2,9.2,4.0,0.9,0.341,66%,45%,0.10,94.0,5.08,4.25,3.87,4.04
Clay Holmes,NYY,31,3,5,30,67,0,63,1.2,9.7,3.1,0.6,0.322,71%,65%,0.12,97.5,3.14,3.22,3.02,3.01
Carlos Estévez,- - -,31,4,5,26,54,0,55,1.2,8.2,2.0,0.8,0.229,75%,33%,0.07,96.9,2.45,3.24,3.24,4.09
Aroldis Chapman,PIT,36,5,5,14,68,0,61.2,1.1,14.3,5.7,0.7,0.322,69%,45%,0.11,97.9,3.79,2.96,3.04,3.14
Ross Stripling,OAK,34,2,11,0,22,14,85.1,1.1,5.2,2.3,0.7,0.338,55%,39%,0.06,92.0,6.01,4.77,3.89,4.74
Charlie Morton,ATL,40,8,10,0,30,30,165.1,1.1,9.1,3.5,1.3,0.306,74%,46%,0.16,94.3,4.19,4.43,4.46,3.99
Aaron Bummer,ATL,30,4,3,0,56,0,55.1,1.1,11.2,2.9,0.3,0.386,73%,60%,0.07,93.7,3.58,2.79,2.23,2.52
Jose Quintana,NYM,35,10,10,0,31,31,170.1,1,7.1,3.3,1.2,0.263,78%,47%,0.13,90.8,3.75,4.49,4.56,4.44
Blake Treinen,LAD,36,7,3,1,50,0,46.2,1,10.8,2.1,1.0,0.255,90%,45%,0.11,94.2,1.93,2.38,3.00,3.06
Hoby Milner,MIL,33,5,1,1,61,1,64.2,0.9,8.9,1.9,0.8,0.313,58%,52%,0.12,88.9,4.73,3.15,3.14,3.15
Joe Ross,MIL,31,3,6,0,25,10,74,0.9,8.0,3.5,0.9,0.298,73%,41%,0.08,94.8,3.77,3.86,3.83,4.50
Chris Martin,BOS,38,3,1,2,45,0,44.1,0.9,10.2,0.6,1.0,0.353,67%,46%,0.13,94.9,3.45,3.29,2.78,2.61
Matthew Boyd,CLE,33,2,2,0,8,8,39.2,0.9,10.4,2.9,0.9,0.277,75%,31%,0.08,92.1,2.72,3.1,3.29,3.89
Jakob Junis,- - -,31,4,0,1,24,6,67,0.9,6.9,1.1,1.1,0.224,78%,39%,0.10,92.6,2.69,3.83,3.69,3.87
Colin Rea,MIL,33,12,6,1,32,27,167.2,0.9,7.2,2.3,1.6,0.282,77%,39%,0.14,93.0,4.29,4.87,4.75,4.42
José Leclerc,TEX,30,6,5,1,64,0,66.2,0.8,12.0,4.3,0.9,0.314,72%,35%,0.10,95.6,4.32,3.57,3.48,3.66
Shane Bieber,CLE,29,2,0,0,2,2,12,0.8,15.0,0.8,0.0,0.417,100%,50%,0.00,92.5,0.00,2.66,0.08,0.59
Michael Lorenzen,- - -,32,7,6,0,26,24,130.1,0.7,6.7,4.1,1.2,0.236,82%,42%,0.11,94.0,3.31,4.58,4.89,4.95
Shawn Armstrong,- - -,33,3,3,1,57,7,66.2,0.7,8.9,3.4,0.8,0.362,69%,36%,0.08,93.5,4.86,5.1,3.57,4.19
Spencer Turnbull,PHI,31,3,0,0,17,7,54.1,0.7,9.6,3.3,1.0,0.233,84%,47%,0.12,,2.65,4.02,3.85,3.80
Justin Verlander,HOU,41,5,6,0,17,17,90.1,0.7,7.4,2.7,1.5,0.303,68%,28%,0.10,93.7,5.48,3.88,4.78,5.13
Huascar Brazobán,- - -,34,1,3,0,39,0,51.2,0.6,8.9,4.4,0.3,0.265,63%,46%,0.05,96.6,3.83,3.57,3.32,4.08
Clayton Kershaw,LAD,36,2,2,0,7,7,30,0.6,7.2,2.7,0.6,0.354,63%,39%,0.06,89.8,4.50,4.43,3.53,4.33
Jacob Webb,BAL,30,2,5,2,60,0,56.2,0.6,9.2,4.3,0.6,0.245,72%,34%,0.06,93.5,3.02,3.46,3.52,4.31
Max Scherzer,TEX,39,2,4,0,9,9,43.1,0.6,8.3,2.1,1.5,0.277,75%,32%,0.13,92.6,3.95,3.86,4.18,4.04
Jalen Beeks,- - -,30,7,4,10,71,0,70,0.6,7.1,3.5,0.8,0.321,66%,45%,0.07,94.7,4.50,3.75,4.00,4.65
Dylan Floro,- - -,33,6,4,0,66,0,68.2,0.6,6.3,2.2,0.7,0.288,68%,45%,0.07,90.0,3.80,3.97,3.50,4.10
Buck Farmer,CIN,33,3,2,1,61,1,71,0.6,8.9,3.7,0.9,0.263,82%,36%,0.09,92.9,3.04,4.14,4.00,4.44
Martín Pérez,- - -,33,5,6,0,26,26,135,0.5,7.1,3.3,1.5,0.317,77%,44%,0.14,91.5,4.53,5.38,4.90,4.48
Danny Coulombe,BAL,34,1,0,1,33,0,29.2,0.5,9.7,1.5,0.9,0.179,82%,49%,0.11,90.9,2.12,2.88,2.83,2.94
Cal Quantrill,COL,29,8,11,0,29,29,148.1,0.5,6.7,4.2,1.4,0.300,75%,44%,0.15,94.2,4.98,5.34,5.32,4.87
Tim Hill,- - -,34,4,0,0,62,0,67,0.5,4.2,2.6,0.3,0.316,69%,68%,0.05,90.8,3.36,3.44,3.57,4.02
John Means,BAL,31,2,0,0,4,4,20.2,0.5,7.0,0.9,0.9,0.237,80%,18%,0.06,90.6,2.61,4.77,3.31,4.54
Adam Ottavino,NYM,38,2,2,1,60,0,56,0.5,11.3,3.7,1.0,0.309,71%,43%,0.10,93.2,4.34,3.13,3.67,3.89
Andrew Chafin,- - -,34,4,3,1,62,0,56.1,0.4,11.2,5.0,0.8,0.338,75%,36%,0.09,91.9,3.51,3.59,3.54,3.94
Yimi García,- - -,33,3,0,5,39,0,39,0.4,11.3,2.8,1.4,0.202,77%,27%,0.12,96.6,3.46,3.13,3.73,3.63
Michael Soroka,CHW,26,0,10,0,25,9,79.2,0.4,9.5,5.0,1.5,0.261,68%,40%,0.14,93.5,4.74,4.55,4.95,4.54
Kyle Hendricks,CHC,34,4,12,0,29,24,130.2,0.4,6.0,3.0,1.4,0.305,64%,45%,0.14,88.0,5.92,4.8,4.98,4.59
Paul Sewald,ARI,34,1,2,16,42,0,39.2,0.3,9.8,2.3,1.4,0.282,73%,27%,0.10,91.4,4.31,3.78,3.95,4.31
Burch Smith,- - -,34,4,1,0,50,0,56.1,0.3,7.3,1.9,1.0,0.331,63%,44%,0.09,95.1,4.95,4.55,3.66,4.02
T.J. McFarland,OAK,35,2,4,0,79,0,56.2,0.3,6.2,2.7,0.6,0.287,67%,57%,0.10,,3.81,3.24,3.82,3.97
